grid_lat,grid_height,nrcell_cid,nrcell_freq,cell_index,cell_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
40.4616,90,459,520110,5,5G,20,7,0.35,17,7,0.4117647058823529,0.7314285714285713,0.12370339773928969,0.496,0.5728,0.6639999999999999,0.776,0.8240000000000001,0.8528,0.872,42.64685714285714,14.255875855525794,22.544,27.944000000000003,32.612,37.12,55.26,61.3104,63.12,
40.4616,90,700,125290,1,5G,20,3,0.15,17,3,0.17647058823529413,0.4426666666666666,0.14552281226285071,0.328,0.3328,0.33999999999999997,0.352,0.5,0.5888,0.648,15.501333333333335,0.8034680384986629,14.512,14.712,15.012,15.512,15.996,16.2864,16.48,
40.4616,90,721,520110,2,5G,20,0,0.0,17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4629,90,721,520110,2,5G,208,7,0.03365384615384615,179,5,0.027932960893854747,0.4992,0.1047480787413306,0.392,0.4048,0.424,0.464,0.528,0.624,0.688,27.2976,6.4913469049188866,19.856,20.563200000000002,21.624,26.152,31.256,35.062400000000004,37.6,
40.4629,90,749,520110,3,5G,208,110,0.5288461538461539,179,84,0.4692737430167598,0.30989890400604686,0.20558162768403704,0.088,0.1673,0.17796428571428569,0.18771428571428572,0.466,0.544,1.385142857142857,18.092326908541196,11.657665677396658,1.984,9.6037,10.58175,11.703,27.914,36.3048,57.414857142857144,
40.4629,90,317,520110,4,5G,208,81,0.3894230769230769,179,80,0.44692737430167595,0.6243999999999998,0.18770998907889802,0.2,0.3352,0.574,0.636,0.68,0.763200000000001,1.472,40.5433,12.109584646469093,1.648,21.5512,41.32,43.848,47.978,48.608,51.368,
40.4629,90,700,125290,1,5G,208,8,0.038461538461538464,179,8,0.0446927374301676,0.42,0.059598657703005355,0.312,0.3232,0.406,0.444,0.46,0.472,0.472,24.814999999999998,4.761734872921843,16.216,17.011200000000002,23.682000000000002,26.880000000000003,27.706000000000003,28.8856,29.328,
40.4629,90,459,520110,5,5G,208,2,0.009615384615384616,179,2,0.0111731843575419,0.724,0.043999999999999984,0.68,0.6888000000000001,0.7020000000000001,0.724,0.746,0.7592,0.768,55.716,6.116,49.6,50.8232,52.658,55.716,58.774,60.6088,61.832,
40.463,90,721,520110,2,5G,49,18,0.3673469387755102,43,15,0.3488372093023256,0.5593333333333331,0.08991749304532212,0.44,0.4592,0.46799999999999997,0.576,0.636,0.6784,0.718,34.1956,7.40079246927877,22.936,24.1472,27.240000000000002,34.432,39.86,43.0304,46.52,
40.463,90,749,520110,3,5G,49,22,0.4489795918367347,43,19,0.4418604651162791,0.4127368421052632,0.17653383218470384,0.0,0.10980000000000001,0.372,0.472,0.512,0.5631999999999999,0.664,24.953789473684207,11.299278465920535,0.92,11.6348,18.548000000000002,28.584,32.052,35.61599999999999,47.192,
