grid_lon,grid_height,total_sample,total_sample_nr,nr_duration_ratio,total_sample_nr_low,nr_low_duration_ratio,total_sample_nr_mid,nr_mid_duration_ratio,nr_duration_ratio_plot
40.4625,60.0000,40.0000,40.0000,1.0000,3.0000,0.0750,37.0000,0.9250,1.7500
40.4625,90.0000,38.0000,38.0000,1.0000,2.0000,0.0526,36.0000,0.9474,1.7500
40.4625,120.0000,40.0000,40.0000,1.0000,7.0000,0.1750,33.0000,0.8250,1.7500
40.4626,0.0000,47.0000,45.0000,0.9574,44.0000,0.9362,1.0000,0.0213,1.2965
40.4626,30.0000,90.0000,90.0000,1.0000,8.0000,0.0889,82.0000,0.9111,1.7500
40.4626,60.0000,38.0000,38.0000,1.0000,11.0000,0.2895,27.0000,0.7105,1.7500
40.4626,90.0000,40.0000,40.0000,1.0000,9.0000,0.2250,31.0000,0.7750,1.7500
40.4626,120.0000,51.0000,51.0000,1.0000,14.0000,0.2745,37.0000,0.7255,1.7500
40.4627,0.0000,85.0000,80.0000,0.9412,76.0000,0.8941,4.0000,0.0471,1.2059
40.4627,30.0000,90.0000,90.0000,1.0000,4.0000,0.0444,86.0000,0.9556,1.7500
40.4627,60.0000,35.0000,35.0000,1.0000,6.0000,0.1714,29.0000,0.8286,1.7500
40.4627,90.0000,50.0000,50.0000,1.0000,12.0000,0.2400,38.0000,0.7600,1.7500
40.4627,120.0000,60.0000,60.0000,1.0000,8.0000,0.1333,52.0000,0.8667,1.7500
40.4628,0.0000,1880.0000,1460.0000,0.7766,980.0000,0.5213,480.0000,0.2553,0.7943
40.4628,30.0000,237.0000,234.0000,0.9873,18.0000,0.0759,216.0000,0.9114,1.4834
40.4628,60.0000,184.0000,184.0000,1.0000,27.0000,0.1467,157.0000,0.8533,1.7500
40.4628,90.0000,287.0000,286.0000,0.9965,23.0000,0.0801,263.0000,0.9164,1.6629
40.4628,120.0000,177.0000,177.0000,1.0000,24.0000,0.1356,153.0000,0.8644,1.7500
40.4629,0.0000,909.0000,739.0000,0.8130,323.0000,0.3553,416.0000,0.4576,0.8550
40.4629,30.0000,402.0000,402.0000,1.0000,45.0000,0.1119,357.0000,0.8881,1.7500
40.4629,60.0000,326.0000,326.0000,1.0000,33.0000,0.1012,293.0000,0.8988,1.7500
40.4629,90.0000,143.0000,143.0000,1.0000,8.0000,0.0559,135.0000,0.9441,1.7500
40.4629,120.0000,119.0000,119.0000,1.0000,2.0000,0.0168,117.0000,0.9832,1.7500
40.4630,0.0000,133.0000,130.0000,0.9774,39.0000,0.2932,91.0000,0.6842,1.4215
40.4630,30.0000,156.0000,156.0000,1.0000,5.0000,0.0321,151.0000,0.9679,1.7500
