grid_lat,grid_height,best_c1_thput,best_c2_thput,c1_sample_num,c2_sample_num,duration_ratio_best_c1,duration_ratio_best_c2
40.4621,0,4.696,6.8134999999999994,1,12,0.07142857142857142,0.8571428571428571
40.4621,30,38.2,63.024,62,2,0.265625,0.03125
40.4621,60,65.04400000000001,87.0,55,10,0.24324324324324326,0.04054054054054054
40.4621,90,55.2,57.670920634920634,36,15,0.05555555555555555,0.18518518518518517
40.4621,120,50.704,34.239999999999995,28,8,0.08333333333333333,0.2222222222222222
40.4622,0,6.848,6.634,1,17,0.05263157894736842,0.8947368421052632
40.4622,30,44.392,56.064,69,2,0.2676056338028169,0.028169014084507043
40.4622,60,38.616,53.992,34,17,0.4461538461538462,0.18461538461538463
40.4622,90,51.448,57.24355555555555,41,16,0.15254237288135591,0.22033898305084745
40.4622,120,63.831999999999994,26.624000000000002,25,8,0.06060606060606061,0.24242424242424243
40.4623,0,5.8,6.176,1,14,0.0625,0.875
40.4623,30,47.36,61.552,63,3,0.25757575757575757,0.045454545454545456
40.4623,60,60.872,73.552,39,13,0.3090909090909091,0.05454545454545454
40.4623,90,51.768,53.407,39,11,0.11538461538461539,0.17307692307692307
40.4623,120,63.172,32.208,29,8,0.05405405405405406,0.21621621621621623
40.4624,0,3.984,4.993142857142857,1,17,0.05263157894736842,0.8947368421052632
40.4624,30,38.416,56.504,71,3,0.14864864864864866,0.04054054054054054
40.4624,60,60.524,67.472,43,13,0.3448275862068966,0.05172413793103448
40.4624,90,58.116,62.58266666666667,37,13,0.12280701754385964,0.19298245614035087
40.4624,120,61.968,29.9,32,8,0.05,0.2
40.4625,0,6.168,8.347999999999999,1,12,0.07142857142857142,0.8571428571428571
40.4625,30,39.476,56.92,112,6,0.2711864406779661,0.05084745762711865
40.4625,60,59.496,43.44,42,9,0.49019607843137253,0.17647058823529413
40.4625,90,58.632,46.92135714285714,34,10,0.03636363636363636,0.10909090909090909
40.4625,120,48.664,29.152,29,7,0.5555555555555556,0.19444444444444445
40.4626,0,7.6,5.958,1,21,0.043478260869565216,0.9130434782608695
40.4626,30,38.272,60.472,81,8,0.24719101123595505,0.0898876404494382
40.4626,60,62.715999999999994,55.016000000000005,30,17,0.3076923076923077,0.11538461538461539
40.4626,90,58.592,60.576,28,24,0.05,0.25
40.4626,120,63.867999999999995,32.796,29,14,0.046511627906976744,0.32558139534883723
40.4627,0,23.536,8.906,5,324,0.014925373134328358,0.9671641791044776
40.4627,30,37.416,44.672,87,9,0.27083333333333337,0.09375
40.4627,60,61.708,52.436,39,13,0.5,0.038461538461538464
40.4627,90,59.2,59.73777777777778,29,29,0.09523809523809523,0.2698412698412698
40.4627,120,63.763999999999996,27.800000000000004,43,8,0.0392156862745098,0.1568627450980392
40.4628,0,22.912,11.545,528,1690,0.0022354694485842027,0.6080476900149031
40.4628,30,37.432,48.436,235,18,0.0390625,0.0703125
40.4628,60,62.372,65.45599999999999,181,41,0.11504424778761062,0.04424778761061947
40.4628,90,52.056,63.05777777777777,277,78,0.013774104683195593,0.1322314049586777
40.4628,120,49.352,34.944,145,24,0.1301775147928994,0.13609467455621302
40.4629,0,23.240000000000002,11.0,480,451,0.006837606837606838,0.3683760683760684
40.4629,30,43.68,41.004,362,66,0.3247663551401869,0.1542056074766355
40.4629,60,55.656,56.135999999999996,341,49,0.07160493827160494,0.0345679012345679
40.4629,90,55.716,26.880000000000003,189,9,0.01,0.04
40.4629,120,51.464,33.448,107,2,0.009174311926605505,0.01834862385321101
40.463,0,12.304,5.3205,91,14,0.8584905660377359,0.1320754716981132
40.463,30,34.232,45.168,143,6,0.32214765100671144,0.040268456375838924
40.463,60,44.408,None,113,0,0.7213114754098361,None
40.463,90,46.984,None,51,0,0.169811320754717,None
40.463,120,67.55600000000001,34.164,37,2,0.05128205128205128,0.05128205128205128
40.4631,0,4.768,5.096,1,15,0.0625,0.9375
40.4631,30,53.024,50.7,89,4,0.12903225806451613,0.043010752688172046
