grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization
40.4653,120.0000,1.8880,4.1294,10.2584,11.8416,20.6280,23.6560,27.8860,45.5192,57.9380,68.4702,69.8720,23.6560,45.5192,11.8416,33.6776,21.8632
40.4654,120.0000,0.1200,0.3632,8.7200,9.9600,19.7440,25.0480,39.9440,46.9360,49.7120,57.5184,63.6560,25.0480,46.9360,9.9600,36.9760,21.8880
40.4655,120.0000,3.6320,6.8230,8.6000,10.0272,19.7280,25.3600,41.8000,67.0192,70.4544,72.7030,73.9760,25.3600,67.0192,10.0272,56.9920,41.6592
40.4656,120.0000,0.1040,1.2240,8.2800,8.9680,12.4720,24.5440,34.0240,58.0400,68.0120,70.8824,72.5120,24.5440,58.0400,8.9680,49.0720,33.4960
40.4657,120.0000,1.6560,6.0576,10.2720,13.3280,22.3760,24.3440,34.9600,56.9200,67.6240,67.9072,67.9120,24.3440,56.9200,13.3280,43.5920,32.5760
40.4658,120.0000,0.1040,0.1401,6.1872,10.8776,22.3420,24.9440,37.6080,57.3536,66.2844,71.7866,72.2720,24.9440,57.3536,10.8776,46.4760,32.4096
40.4659,120.0000,10.6320,13.6557,18.3104,20.0000,23.9600,26.0240,39.6400,63.0416,68.6864,72.3843,72.7680,26.0240,63.0416,20.0000,43.0416,37.0176
40.4660,120.0000,9.3760,10.3348,13.8128,16.3720,23.0640,25.8680,34.5500,58.6920,70.2144,72.2835,72.4640,25.8680,58.6920,16.3720,42.3200,32.8240
40.4661,120.0000,1.6000,2.6080,4.8784,9.0800,20.5600,25.8640,40.1640,56.0240,66.8752,69.7075,71.6160,25.8640,56.0240,9.0800,46.9440,30.1600
40.4662,120.0000,1.6480,4.8506,11.4436,18.1304,22.5380,25.4320,35.4980,57.0624,62.7364,70.5609,72.3600,25.4320,57.0624,18.1304,38.9320,31.6304
40.4663,120.0000,2.0240,2.1808,3.4000,12.4880,24.2480,28.9520,34.2800,63.7920,71.5280,72.9440,73.5200,28.9520,63.7920,12.4880,51.3040,34.8400
40.4664,120.0000,0.7600,1.3720,9.8880,18.9600,24.2040,28.8080,41.4400,59.6800,63.0440,69.2320,69.6560,28.8080,59.6800,18.9600,40.7200,30.8720
40.4665,120.0000,3.5520,4.6705,8.6984,12.8384,23.6640,26.1360,34.2680,57.8360,62.4304,68.9897,70.8560,26.1360,57.8360,12.8384,44.9976,31.7000
40.4666,120.0000,3.8000,5.8874,10.0592,13.8688,22.5200,25.5440,41.7360,53.0896,61.1952,63.8310,64.0000,25.5440,53.0896,13.8688,39.2208,27.5456
40.4667,120.0000,8.3200,8.4886,10.3904,12.1616,23.1220,28.2400,52.3300,59.2968,61.5344,64.9169,66.5280,28.2400,59.2968,12.1616,47.1352,31.0568
40.4668,120.0000,0.7600,1.1920,6.5140,8.5440,23.6260,27.7960,41.7880,53.9000,58.2460,61.5156,62.3760,27.7960,53.9000,8.5440,45.3560,26.1040
40.4669,120.0000,2.0960,3.5302,6.2400,10.8176,22.0800,26.6160,47.5840,52.7936,56.0912,57.1229,57.4080,26.6160,52.7936,10.8176,41.9760,26.1776
40.4670,120.0000,2.0880,3.0544,7.6560,9.7680,22.2640,28.5680,48.4080,52.9920,57.6240,60.9104,62.4720,28.5680,52.9920,9.7680,43.2240,24.4240
40.4671,120.0000,0.9600,1.9968,6.1632,7.4480,20.1520,25.8000,47.4800,56.8208,57.7872,60.8746,61.9920,25.8000,56.8208,7.4480,49.3728,31.0208
40.4672,120.0000,3.9360,5.0122,7.4088,9.3520,16.9800,23.1120,38.4280,56.3824,61.6328,62.7296,62.9120,23.1120,56.3824,9.3520,47.0304,33.2704
40.4673,120.0000,3.1040,3.9620,5.3724,5.8736,11.9360,24.3320,40.1360,55.8464,61.6384,65.1149,66.2880,24.3320,55.8464,5.8736,49.9728,31.5144
40.4674,120.0000,4.8240,5.0486,5.5696,8.8352,17.7920,25.1680,42.5280,53.0096,60.1824,61.4560,61.8880,25.1680,53.0096,8.8352,44.1744,27.8416
40.4675,120.0000,0.1520,1.8359,6.3056,8.7976,20.9520,24.9360,39.3380,53.4632,59.1756,62.7284,62.8400,24.9360,53.4632,8.7976,44.6656,28.5272
40.4676,120.0000,5.7680,6.2797,9.6992,15.3120,18.2480,26.0160,35.1120,50.5920,53.8600,56.8595,57.8080,26.0160,50.5920,15.3120,35.2800,24.5760
40.4677,120.0000,4.6000,5.3749,7.4520,9.9256,19.0760,22.6720,39.8220,53.5160,57.9808,61.2365,61.7840,22.6720,53.5160,9.9256,43.5904,30.8440
40.4678,120.0000,3.8480,3.9632,4.7760,6.7200,20.0160,26.4160,42.0680,57.0960,57.9680,61.3784,62.7200,26.4160,57.0960,6.7200,50.3760,30.6800
40.4679,120.0000,3.7120,4.0749,5.2576,6.9696,17.4560,23.0640,41.8160,56.9968,57.9312,57.9901,58.0080,23.0640,56.9968,6.9696,50.0272,33.9328
40.4680,120.0000,5.3200,5.7218,6.6732,8.2456,22.0380,24.9440,43.5020,52.6656,57.7904,60.1589,61.1360,24.9440,52.6656,8.2456,44.4200,27.7216
40.4681,120.0000,0.7600,0.7680,1.6340,4.9200,12.3540,26.9560,42.4220,56.1680,57.6820,57.8500,57.8880,26.9560,56.1680,4.9200,51.2480,29.2120
40.4682,120.0000,2.1440,3.1137,5.8264,11.4576,21.4320,25.0520,30.9920,51.8896,54.1644,57.4295,58.4240,25.0520,51.8896,11.4576,40.4320,26.8376
40.4683,120.0000,0.8720,1.1936,2.5440,3.8800,17.9200,23.3520,35.0080,53.0800,54.6480,57.5128,58.1920,23.3520,53.0800,3.8800,49.2000,29.7280
40.4684,120.0000,3.2560,3.7443,5.0032,5.6096,16.9200,25.0240,37.1440,50.0992,55.2864,57.6147,58.0000,25.0240,50.0992,5.6096,44.4896,25.0752
40.4685,120.0000,4.6880,4.9914,5.7344,8.4752,17.3040,25.5680,36.6000,42.4112,50.1776,58.0093,58.0400,25.5680,42.4112,8.4752,33.9360,16.8432
40.4686,120.0000,5.0560,5.6148,6.7460,7.7720,11.6040,22.1520,27.0040,42.7320,52.9760,59.9820,62.3360,22.1520,42.7320,7.7720,34.9600,20.5800
40.4687,120.0000,5.8080,6.0192,6.8592,7.8080,16.4560,30.9600,43.3520,55.9984,56.6352,60.1834,61.1760,30.9600,55.9984,7.8080,48.1904,25.0384
