parent_grid_lat,parent_grid_lon,parent_lat_index,parent_lon_index,sub_grid_lat,sub_grid_lon,sub_lat_index,sub_lon_index,lat_index,lon_index,rsrp_50_273_387410,rsrp_50_371_387410,rsrp_50_gap_273_371_387410,rsrp_50_gap_target_other_pcells,target_pcell_usage,target_scell_usage
40.42875,-86.92085,4,2,40.42875,-86.92105,2,0,4.4,2,-99.68,-98.385,1.320555556,1.58,0.994776828,0.994776828
40.42875,-86.92085,4,2,40.42875,-86.92095,2,1,4.4,2.2,-100.5071429,-99.3,1.24,1.197857143,0.993284493,0.993284493
40.42875,-86.92085,4,2,40.42875,-86.92085,2,2,4.4,2.4,-103.4633333,-101.4083333,2.055,0.031666667,1,1
40.42875,-86.92085,4,2,40.42875,-86.92075,2,3,4.4,2.6,-103.9525,-102.8625,1.09,-1.4175,1,1
40.42875,-86.92085,4,2,40.42875,-86.92065,2,4,4.4,2.8,-99.02666667,-97.97833333,2.205,-3.175,0.913043478,0.913043478
40.42875,-86.92085,4,2,40.42885,-86.92105,3,0,4.6,2,-98.2890625,-97.58875,1.3521875,2.0490625,0.974838653,0.974838653
40.42875,-86.92085,4,2,40.42885,-86.92095,3,1,4.6,2.2,-99.18590909,-98.74136364,1.123636364,1.03,0.963401678,0.963401678
40.42875,-86.92085,4,2,40.42885,-86.92085,3,2,4.6,2.4,-100.33125,-99.605,1.45625,0.605,1,1
40.42875,-86.92085,4,2,40.42885,-86.92075,3,3,4.6,2.6,-98.36166667,-98.15375,1.05,1.87625,0.5,0.5
40.42875,-86.92085,4,2,40.42885,-86.92065,3,4,4.6,2.8,-98.949,-98.395,1.121,1.971666667,0.305728088,0.305728088
40.42875,-86.92085,4,2,40.42895,-86.92105,4,0,4.8,2,-97.7953125,-98.0521875,0.954375,2.2990625,0.932613116,0.932613116
40.42875,-86.92085,4,2,40.42895,-86.92095,4,1,4.8,2.2,-98.35333333,-98.885,0.805,1.410416667,0.894363684,0.894363684
40.42875,-86.92085,4,2,40.42895,-86.92085,4,2,4.8,2.4,-97.61142857,-99.20142857,1.795714286,1.667142857,0.75,0.75
40.42875,-86.92085,4,2,40.42895,-86.92075,4,3,4.8,2.6,-97.246,-98.58,2.174,2.174166667,0.5,0.5
40.42875,-86.92085,4,2,40.42895,-86.92065,4,4,4.8,2.8,-99.615,-98.47,0.9675,1.455833333,0.336385836,0.336385836
40.42675,-86.92035,1,2,40.42655,-86.92045,0,1,1,2.2,-139.355,-80.725,58.63,18.35,0,0
40.42675,-86.92035,1,2,40.42655,-86.92035,0,2,1,2.4,-126.398,-85.335,41.063,14.299,0,0
40.42675,-86.92035,1,2,40.42655,-86.92025,0,3,1,2.6,-123.15875,-86.724,36.67125,12.885,0,0
40.42675,-86.92035,1,2,40.42685,-86.92035,3,2,1.6,2.4,-108.695,-106.7,1.995,5.31,1,1
40.42675,-86.92035,1,2,40.42685,-86.92025,3,3,1.6,2.6,-109.0075,-106.89,2.1175,5.98,1,1
40.42675,-86.92035,1,2,40.42685,-86.92015,3,4,1.6,2.8,-109.32,-107.08,2.24,6.65,1,1
40.42675,-86.92035,1,2,40.42695,-86.92035,4,2,1.8,2.4,-100.8175,-96.665,4.1525,7.9,1,1
40.42675,-86.92035,1,2,40.42695,-86.92025,4,3,1.8,2.6,-104.006,-99.763,4.243,6.58,1,1
40.42675,-86.92035,1,2,40.42695,-86.92015,4,4,1.8,2.8,-106.1316667,-101.8283333,4.303333333,5.7,1,1
40.42725,-86.92035,2,2,40.42705,-86.92045,0,1,2,2.2,-142.91,-87.605,55.305,13.81,1,1
40.42725,-86.92035,2,2,40.42705,-86.92035,0,2,2,2.4,-103.909,-89.338,14.571,10.635,1,1
40.42725,-86.92035,2,2,40.42705,-86.92025,0,3,2,2.6,-98.04625,-94.0775,3.96875,7.573125,1,1
40.42725,-86.92035,2,2,40.42705,-86.92015,0,4,2,2.8,-101.93375,-98.38375,3.55,5.305,1,1
40.42725,-86.92035,2,2,40.42715,-86.92045,1,1,2.2,2.2,-137.54,-86.7675,50.7725,13.0825,1,1
40.42725,-86.92035,2,2,40.42715,-86.92035,1,2,2.2,2.4,-106.4444444,-88.99277778,17.45166667,11.87611111,1,1
40.42725,-86.92035,2,2,40.42715,-86.92025,1,3,2.2,2.6,-104.0403846,-89.36807692,14.67230769,12.18423077,0.971340726,0.971340726
40.42725,-86.92035,2,2,40.42715,-86.92015,1,4,2.2,2.8,-111.6008333,-89.06416667,22.53666667,12.94583333,0.937904906,0.937904906
40.42725,-86.92035,2,2,40.42725,-86.92055,2,0,2.4,2,-92.85875,-89.695,3.51625,13.54625,0.979622937,0.979622937
40.42725,-86.92035,2,2,40.42725,-86.92045,2,1,2.4,2.2,-100.11,-90.43,9.915,12.56583333,0.991596639,0.991596639
40.42725,-86.92035,2,2,40.42725,-86.92035,2,2,2.4,2.4,-99.42227273,-86.59125,11.97454545,13.2225,0.998003992,0.998003992
40.42725,-86.92035,2,2,40.42725,-86.92025,2,3,2.4,2.6,-100.723125,-84.58441176,15.6753125,13.75470588,0.951001962,0.951001962
40.42725,-86.92035,2,2,40.42725,-86.92015,2,4,2.4,2.8,-100.8036364,-83.70454545,17.09909091,13.92227273,0.920254875,0.920254875
40.42725,-86.92035,2,2,40.42735,-86.92055,3,0,2.6,2,-91.3505,-87.8065,3.685,14.2015,0.891849175,0.891849175
40.42725,-86.92035,2,2,40.42735,-86.92045,3,1,2.6,2.2,-91.15923077,-88.17576923,3.091923077,13.89384615,0.919198449,0.919198449
40.42725,-86.92035,2,2,40.42735,-86.92035,3,2,2.6,2.4,-92.43115385,-84.63964286,7.216923077,15.9825,0.998289136,0.998289136
40.42725,-86.92035,2,2,40.42735,-86.92025,3,3,2.6,2.6,-91.975,-81.909,9.7275,15.76533333,0.969306927,0.969306927
40.42725,-86.92035,2,2,40.42735,-86.92015,3,4,2.6,2.8,-90.27708333,-82.07625,8.200833333,14.505,0.957947849,0.957947849
40.42725,-86.92035,2,2,40.42745,-86.92055,4,0,2.8,2,-90.345,-86.5475,3.7975,14.63833333,0.833333333,0.833333333
40.42725,-86.92035,2,2,40.42745,-86.92045,4,1,2.8,2.2,-89.5725,-86.204375,3.368125,14.6975,0.875,0.875
40.42725,-86.92035,2,2,40.42745,-86.92035,4,2,2.8,2.4,-90.93666667,-83.52555556,7.411111111,17.57111111,1,1
40.42725,-86.92035,2,2,40.42745,-86.92025,4,3,2.8,2.6,-93.394,-85.6515,7.7965,16.9805,0.9,0.9
40.42725,-86.92035,2,2,40.42745,-86.92015,4,4,2.8,2.8,-93.435,-87.14857143,6.363571429,15.33857143,0.857142857,0.857142857
40.42825,-86.92035,3,2,40.42805,-86.92015,0,4,3,2.8,-84.505,-84.71,0.205,14.275,1,1
40.42825,-86.92035,3,2,40.42815,-86.92055,1,0,3.2,2,-95.905,-87.995,7.91,0.55875,0.6125,0.6125
40.42825,-86.92035,3,2,40.42815,-86.92045,1,1,3.2,2.2,-95.16,-89.80125,5.35875,2.24875,1,1
40.42825,-86.92035,3,2,40.42815,-86.92035,1,2,3.2,2.4,-94.0025,-89.98625,4.01625,5.54875,1,1
40.42825,-86.92035,3,2,40.42815,-86.92025,1,3,3.2,2.6,-89.802,-85.776,4.246,13.499,1,1
40.42825,-86.92035,3,2,40.42815,-86.92015,1,4,3.2,2.8,-86.26857143,-82.68357143,3.800714286,16.44357143,1,1
