grid_lat,grid_lon,cellset_length,target_pcell_usage,target_scell_usage,rsrp_25_max_target_pcells,rsrp_25_max_other_pcells,rsrp_25_gap_target_other_pcells,rsrp_50_max_target_pcells,rsrp_50_max_other_pcells,rsrp_50_gap_target_other_pcells,rsrp_75_max_target_pcells,rsrp_75_max_other_pcells,rsrp_75_gap_target_other_pcells,rsrp_25_gap_273_371_387410,rsrp_50_gap_273_371_387410,rsrp_75_gap_273_371_387410
40.42415,-86.91665,333,0.0,0.0,-94.5925,-83.385,-11.207499999999996,-92.98,-81.11,-11.870000000000005,-91.08,-79.725,-11.355000000000004,1.3649999999999949,5.439999999999998,4.624999999999986
40.42415,-86.9163,201,0.0,0.0,-103.68,-85.13,-18.55000000000001,-102.63,-84.01,-18.61999999999999,-100.48,-83.03999999999999,-17.440000000000012,4.060000000000002,3.684999999999988,3.625
40.4242,-86.91665,533,0.0,0.0,-96.26,-85.9575,-10.302500000000009,-94.575,-83.39,-11.185000000000002,-93.1575,-80.5025,-12.655000000000001,0.6800000000000068,2.114999999999995,3.137500000000003
40.42425,-86.91680000000001,306,0.0,0.0,-101.2625,-89.8775,-11.385000000000005,-100.005,-88.515,-11.489999999999995,-98.45,-87.29,-11.159999999999997,9.49499999999999,4.670000000000002,3.1200000000000045
40.42425,-86.91665,411,0.0,0.0,-96.46,-84.66,-11.799999999999997,-93.41,-82.82,-10.590000000000003,-89.77000000000001,-80.05,-9.720000000000013,0.5799999999999983,2.930000000000007,3.760000000000005
40.42425,-86.9166,617,0.0112540192926045,0.0,-96.38,-83.515,-12.864999999999995,-94.47,-81.69,-12.780000000000001,-91.7625,-79.9125,-11.850000000000009,0.045000000000001705,0.8449999999999989,0.6800000000000068
40.42425,-86.91655,614,0.0,0.0,-97.93,-81.555,-16.375,-92.95,-79.98,-12.969999999999999,-89.41250000000001,-77.9675,-11.445000000000007,6.31750000000001,2.8700000000000045,1.5799999999999983
40.42425,-86.9165,301,0.0,0.0,-93.375,-81.11500000000001,-12.259999999999991,-90.66,-79.92500000000001,-10.734999999999985,-87.72,-78.28,-9.439999999999998,13.177499999999995,7.325000000000003,6.00500000000001
40.42425,-86.91645,334,0.0,0.0,-93.9375,-81.9425,-11.995000000000005,-91.15,-80.88,-10.27000000000001,-88.5025,-79.81,-8.692499999999995,6.819999999999993,6.2549999999999955,6.530000000000001
40.4243,-86.9167,177,0.0,0.0,-94.46,-84.4675,-9.992499999999993,-91.41,-82.10499999999999,-9.305000000000007,-89.0,-80.9825,-8.017499999999998,1.9699999999999989,2.430000000000007,2.355000000000004
40.4243,-86.91665,428,0.0210280373831775,0.0,-96.5,-85.75,-10.75,-94.91,-83.51,-11.399999999999991,-89.48,-81.3,-8.180000000000007,3.2749999999999915,1.3199999999999932,2.6099999999999994
40.4243,-86.9166,2029,0.0,0.0,-96.365,-83.025,-13.33999999999999,-93.625,-80.97,-12.655000000000001,-90.5075,-79.18,-11.327499999999986,2.5174999999999983,2.4299999999999926,2.664999999999992
40.4243,-86.91655,758,0.0,0.0,-93.99,-82.61,-11.379999999999995,-91.9,-79.84,-12.060000000000002,-87.08,-76.295,-10.784999999999997,1.4874999999999972,0.519999999999996,0.3149999999999977
40.4243,-86.91640000000001,345,0.0,0.0,-92.53,-81.565,-10.965000000000003,-90.21,-80.26,-9.949999999999989,-87.935,-78.39500000000001,-9.539999999999992,13.157499999999999,8.215000000000003,7.592500000000001
40.42435,-86.91675000000001,129,0.0,0.0,-96.155,-84.8625,-11.292500000000004,-92.11,-82.965,-9.144999999999996,-89.2175,-80.2275,-8.989999999999995,2.217500000000001,1.5,0.09000000000000341
40.42435,-86.9167,173,0.0,0.0,-97.4875,-85.84,-11.647499999999994,-95.54,-83.7,-11.840000000000003,-90.55,-80.9,-9.649999999999991,0.6424999999999983,0.8100000000000023,1.6025000000000063
40.42435,-86.91665,137,0.0579710144927536,0.0,-96.1325,-85.03999999999999,-11.092500000000001,-91.745,-83.66,-8.085000000000008,-88.445,-81.43,-7.014999999999986,0.2850000000000108,4.0,3.782499999999999
40.42435,-86.9166,1550,0.0,0.0,-95.41,-82.78,-12.629999999999995,-92.91,-81.16,-11.75,-89.155,-79.13,-10.025000000000006,2.2449999999999903,3.1200000000000045,4.412499999999994
40.42435,-86.91655,1841,0.0363932645301466,0.0363932645301466,-95.1625,-82.9525,-12.209999999999994,-91.99,-80.72,-11.269999999999996,-89.73,-79.02,-10.710000000000008,1.622499999999988,0.0799999999999983,2.789999999999992
40.4244,-86.91675000000001,202,0.0,0.0,-96.1925,-85.4325,-10.759999999999991,-94.245,-84.06,-10.185000000000002,-91.92,-83.0475,-8.872500000000002,0.9899999999999949,0.20000000000000284,0.8299999999999983
40.4244,-86.91665,230,0.017391304347826,0.0,-95.35,-88.055,-7.2949999999999875,-94.29,-86.47,-7.820000000000007,-92.58,-85.025,-7.554999999999993,0.9650000000000034,1.7399999999999949,1.1799999999999926
40.4244,-86.9166,719,0.0,0.0,-94.5575,-84.88,-9.677500000000009,-92.135,-82.35499999999999,-9.780000000000015,-90.2725,-79.94,-10.332499999999996,2.3549999999999898,3.1700000000000017,3.910000000000011
40.42445,-86.91675000000001,287,0.0,0.0,-92.6325,-86.23,-6.402499999999989,-90.735,-83.45,-7.284999999999997,-89.91,-79.6525,-10.257499999999993,0.5,2.0999999999999943,2.539999999999992
