grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,total_sample
40.4622,90.0000,-99.7500,-99.3750,-93.6875,-93.0625,-91.5625,-89.6875,-86.0000,-83.5202,-82.9714,-82.6428,-82.3910,827.0000
40.4622,120.0000,-98.5625,-96.8937,-94.5000,-93.9375,-90.9219,-88.2500,-86.6800,-84.2150,-83.0960,-82.6215,-82.4920,586.0000
40.4623,0.0000,-116.8125,-115.4678,-112.2062,-108.7828,-105.0585,-101.8125,-98.1405,-96.2001,-95.2562,-93.8875,-93.1250,363.0000
40.4623,30.0000,-92.3050,-89.6589,-88.1314,-87.4140,-84.7340,-79.9375,-73.8750,-71.5000,-70.8750,-70.5000,-70.2500,1289.0000
40.4623,60.0000,-92.1250,-89.5986,-88.4688,-87.4375,-86.3750,-85.1405,-82.5625,-81.3240,-79.4690,-78.6582,-78.0080,986.0000
40.4623,90.0000,-99.8750,-99.1437,-94.3125,-93.5625,-91.5000,-89.6875,-86.2500,-83.6410,-82.7812,-82.4088,-82.2730,836.0000
40.4623,120.0000,-98.1875,-97.4075,-95.3250,-94.4500,-89.3125,-87.9375,-86.7340,-84.4124,-82.9220,-82.4446,-82.3590,649.0000
40.4624,0.0000,-116.1020,-114.7078,-113.4760,-109.5571,-105.6779,-102.2580,-98.0681,-95.7531,-94.3727,-93.2443,-91.3125,352.0000
40.4624,30.0000,-93.4450,-91.9262,-89.1118,-88.2214,-85.8980,-79.6875,-73.8594,-72.3125,-71.9375,-71.4044,-69.6875,1348.0000
40.4624,60.0000,-90.6250,-89.6875,-88.4049,-87.5495,-86.5625,-85.5000,-83.1448,-81.3471,-80.9064,-78.8440,-78.5080,842.0000
40.4624,90.0000,-94.9375,-94.5000,-94.0625,-93.6250,-91.7500,-89.5625,-86.7500,-83.9220,-83.3520,-82.3120,-81.7660,782.0000
40.4624,120.0000,-98.5000,-97.9844,-96.8594,-95.1562,-89.6875,-88.7500,-86.9920,-84.1800,-83.6155,-82.6600,-82.4770,726.0000
40.4625,0.0000,-117.1875,-115.9663,-114.4370,-111.5625,-106.5332,-101.3125,-98.3360,-96.0687,-95.1198,-94.5169,-94.0625,228.0000
40.4625,30.0000,-93.4610,-93.0014,-88.8966,-88.0128,-86.3980,-81.0625,-77.1875,-74.0000,-73.3125,-72.3150,-71.9375,2105.0000
40.4625,60.0000,-93.6640,-91.0173,-89.3750,-88.3125,-86.9375,-85.5000,-84.1875,-81.6887,-81.1261,-79.1046,-78.5080,882.0000
40.4625,90.0000,-95.2500,-95.0625,-94.4688,-94.0625,-92.5000,-89.2730,-86.1875,-83.6950,-83.2190,-82.1611,-81.9220,771.0000
40.4625,120.0000,-98.5000,-98.2788,-96.0719,-95.5812,-89.6250,-88.6875,-86.8477,-84.2970,-83.6386,-83.0983,-82.8670,678.0000
40.4626,0.0000,-116.1250,-115.3427,-113.5734,-109.9875,-106.3905,-103.1875,-98.9257,-96.5578,-95.6250,-94.3988,-93.8670,339.0000
40.4626,30.0000,-93.5940,-92.9103,-91.4840,-89.3986,-86.3830,-81.3750,-79.0000,-74.4375,-72.6250,-71.6350,-70.8750,1517.0000
40.4626,60.0000,-95.6640,-93.5546,-91.2562,-89.5625,-88.4375,-86.8750,-83.9062,-81.2652,-80.2647,-79.3820,-78.0080,650.0000
40.4626,90.0000,-95.7500,-95.6250,-95.0969,-94.7500,-92.7500,-89.6480,-87.3125,-83.8631,-82.8918,-82.0031,-81.7500,750.0000
40.4626,120.0000,-99.6250,-99.3125,-96.1250,-95.7500,-89.6875,-88.6250,-86.9375,-84.3031,-83.3642,-82.9350,-82.7190,834.0000
40.4627,0.0000,-117.8520,-108.5694,-105.8910,-105.3125,-104.2500,-102.0000,-100.8125,-99.5625,-98.7500,-92.6019,-86.5625,8064.0000
40.4627,30.0000,-97.5160,-94.4243,-92.4005,-90.2644,-86.0820,-82.1250,-79.8125,-74.7500,-73.1875,-72.3750,-71.8750,1692.0000
40.4627,60.0000,-92.3125,-91.5744,-89.8125,-89.3750,-88.3125,-86.5312,-82.8108,-79.8208,-79.4304,-78.5080,-78.0080,1182.0000
40.4627,90.0000,-96.4375,-95.9412,-95.1875,-94.6875,-92.6250,-89.1875,-86.6875,-83.1278,-82.4116,-81.1391,-80.9300,895.0000
40.4627,120.0000,-102.6875,-100.9688,-96.6562,-95.5000,-90.0000,-88.4375,-87.0000,-84.4610,-83.0860,-82.6090,-82.4140,951.0000
40.4628,0.0000,-121.7270,-114.0294,-110.7730,-107.6875,-103.7110,-101.0625,-96.7500,-93.6875,-92.3125,-87.8775,-74.3125,33532.0000
40.4628,30.0000,-116.5780,-96.4542,-93.2110,-91.9840,-89.3750,-85.9690,-81.6875,-79.1875,-74.0875,-72.6250,-72.0000,4297.0000
40.4628,60.0000,-97.5625,-94.3750,-91.4375,-90.3125,-88.8125,-85.6875,-82.9380,-81.2340,-80.8750,-80.5000,-79.3750,3309.0000
40.4628,90.0000,-100.2500,-99.4981,-97.3125,-94.9375,-94.0000,-91.6250,-86.5352,-83.1640,-82.7500,-82.2660,-81.1090,6104.0000
40.4628,120.0000,-99.5000,-97.2537,-96.4375,-96.1250,-95.5000,-91.7500,-84.5975,-83.0310,-82.8520,-82.1480,-81.0780,2898.0000
40.4629,0.0000,-119.1170,-115.8750,-113.9220,-112.0620,-104.8120,-100.6250,-94.9770,-91.4375,-89.6250,-82.6375,-77.3125,15061.0000
40.4629,30.0000,-104.2500,-95.0791,-93.4920,-92.7660,-88.7970,-83.7660,-77.7500,-75.9375,-73.8125,-72.1250,-71.1250,8344.0000
40.4629,60.0000,-125.7810,-95.9375,-92.7500,-92.0000,-89.8750,-85.7500,-82.8590,-81.5080,-81.1410,-79.5700,-78.1875,5901.0000
40.4629,90.0000,-98.3750,-96.2025,-94.8125,-94.5625,-93.8750,-92.5625,-85.8962,-84.7102,-83.4530,-81.5173,-81.0860,2720.0000
40.4629,120.0000,-98.5000,-97.5625,-96.3844,-96.0000,-93.6250,-92.1250,-83.7520,-82.9920,-82.1457,-81.2803,-79.3590,1698.0000
40.4630,0.0000,-117.3590,-114.7324,-112.4014,-110.7906,-108.3050,-103.6800,-95.1250,-89.9375,-87.6875,-81.3750,-80.5000,1965.0000
40.4630,30.0000,-110.3750,-96.6198,-93.1898,-90.0075,-88.1250,-84.9380,-80.0000,-76.1250,-74.1094,-73.1875,-72.3125,2556.0000
40.4630,60.0000,-93.7500,-92.6250,-91.5625,-91.4375,-91.0625,-85.6875,-82.1915,-81.3966,-80.4380,-79.9591,-79.4690,1839.0000
40.4630,90.0000,-98.9375,-98.1875,-95.7500,-95.1875,-93.8125,-91.8125,-85.8220,-83.4474,-82.6500,-81.4220,-80.9920,834.0000
40.4630,120.0000,-99.5625,-97.1675,-96.5000,-96.2500,-95.0000,-91.5000,-87.7305,-83.3734,-83.0451,-81.5523,-79.8910,667.0000
40.4631,0.0000,-114.8120,-113.8504,-111.1686,-110.0000,-107.3125,-104.3125,-102.0625,-98.0656,-96.9876,-93.7150,-93.2500,273.0000
40.4631,30.0000,-95.4220,-92.9036,-90.4120,-89.1875,-88.0140,-85.4645,-79.5625,-77.7500,-75.0000,-74.0000,-73.3750,1566.0000
40.4631,60.0000,-94.3125,-93.8750,-93.1875,-92.5625,-88.7188,-86.3750,-84.1875,-82.2564,-81.8368,-81.5780,-80.7340,835.0000
40.4631,90.0000,-99.6875,-97.4281,-96.0781,-95.5000,-93.1875,-92.0000,-85.6860,-83.5390,-82.8750,-81.7661,-81.2810,816.0000
40.4631,120.0000,-98.8125,-97.4800,-96.6250,-95.6750,-93.8125,-92.1250,-87.7500,-83.4482,-83.2670,-82.0806,-81.8120,733.0000
40.4632,0.0000,-115.6410,-114.9175,-112.7065,-110.6388,-108.0000,-105.3590,-101.0625,-97.3970,-95.3252,-93.7775,-93.3125,245.0000
40.4632,30.0000,-94.0080,-93.1201,-90.3360,-89.1875,-87.2850,-83.9140,-79.2500,-76.0687,-74.4375,-73.9375,-73.5625,1362.0000
40.4632,60.0000,-94.6875,-94.3750,-93.7500,-93.5000,-89.8750,-87.0625,-83.5120,-82.0080,-81.6748,-81.0998,-80.6020,768.0000
40.4632,90.0000,-100.5000,-100.2500,-98.4562,-95.1875,-94.0625,-91.7500,-85.8750,-83.5916,-83.0836,-81.8816,-81.6250,848.0000
40.4632,120.0000,-98.3125,-97.2500,-96.7500,-95.9375,-93.8281,-92.0625,-88.1840,-83.7380,-83.3102,-82.0860,-81.9140,656.0000
