column,rsrq,cause
4,-10.5,noloop
4,-22.23,noloop
4,-10.48,noloop
4,-10.57,noloop
4,-10.56,noloop
4,-30.0,noloop
4,-23.32,noloop
4,-10.614999999999998,noloop
4,-10.55,noloop
4,-10.55,noloop
4,-10.585,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-10.64,noloop
4,-30.0,noloop
4,-10.6,noloop
4,-10.61,noloop
4,-41.49,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-10.64,noloop
4,-10.55,noloop
4,-10.61,noloop
4,-23.07,noloop
4,-10.63,noloop
4,-30.0,noloop
4,-24.04,noloop
4,-24.555,noloop
4,-42.91,noloop
4,-42.9,noloop
4,-23.52,noloop
4,-10.59,noloop
4,-10.645,noloop
4,-10.5,noloop
4,-10.415,noloop
4,-21.295,noloop
4,-10.6,noloop
4,-10.63,noloop
4,-10.565,noloop
4,-30.0,noloop
4,-10.535,noloop
4,-10.38,noloop
4,-43.0,noloop
4,-10.645,noloop
4,-30.0,noloop
4,-10.54,noloop
4,-10.6,noloop
4,-43.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.515,noloop
4,-43.0,noloop
4,-10.52,noloop
4,-10.48,noloop
4,-10.5,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-25.83,noloop
4,-25.83,noloop
4,-10.38,noloop
4,-10.46,noloop
4,-10.53,noloop
4,-10.515,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-10.61,noloop
4,-22.505,noloop
4,-10.62,noloop
4,-10.55,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-10.38,noloop
4,-10.58,noloop
4,-10.38,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-10.555,noloop
4,-10.56,noloop
4,-10.43,noloop
4,-10.33,noloop
4,-10.57,noloop
4,-10.56,noloop
4,-10.555,noloop
4,-10.43,noloop
4,-10.43,noloop
4,-30.0,noloop
4,-10.3,noloop
4,-10.43,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.5,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.65,noloop
4,-10.605,noloop
4,-10.46,noloop
4,-30.0,noloop
4,-10.55,noloop
4,-30.0,noloop
4,-10.56,noloop
4,-22.51,noloop
4,-30.0,noloop
4,-10.495,noloop
4,-10.45,noloop
4,-10.64,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.57,noloop
4,-10.58,noloop
4,-10.535,noloop
4,-10.61,noloop
4,-10.58,noloop
4,-30.0,noloop
4,-10.525,noloop
4,-10.614999999999998,noloop
4,-10.56,noloop
4,-10.41,noloop
4,-10.55,noloop
4,-10.63,noloop
4,-22.175,noloop
4,-10.63,noloop
4,-10.59,noloop
4,-10.59,noloop
4,-10.45,noloop
4,-10.56,noloop
4,-10.6,noloop
4,-10.63,noloop
4,-10.61,noloop
4,-10.62,noloop
4,-10.47,noloop
4,-10.61,noloop
4,-10.63,noloop
4,-10.41,noloop
4,-10.415,noloop
4,-10.63,noloop
4,-10.38,noloop
4,-10.625,noloop
4,-10.63,noloop
4,-10.505,noloop
4,-30.0,noloop
4,-10.52,noloop
4,-10.525,noloop
4,-10.57,noloop
4,-10.43,noloop
4,-10.53,noloop
4,-10.64,noloop
4,-10.53,noloop
4,-10.53,noloop
4,-10.59,noloop
4,-30.0,noloop
4,-10.41,noloop
4,-10.605,noloop
4,-10.45,noloop
4,-10.47,noloop
4,-10.55,noloop
4,-10.62,noloop
4,-10.61,noloop
4,-10.59,noloop
4,-10.63,noloop
4,-10.58,noloop
4,-10.59,noloop
4,-30.0,noloop
4,-10.48,noloop
4,-10.45,noloop
4,-10.6,noloop
4,-10.62,noloop
4,-10.63,noloop
4,-10.63,noloop
4,-10.27,noloop
4,-10.31,noloop
4,-30.0,noloop
4,-10.3,noloop
4,-30.0,noloop
4,-10.32,noloop
4,-10.35,noloop
4,-10.26,noloop
4,-10.34,noloop
4,-10.26,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.455,noloop
4,-22.61,noloop
4,-22.61,noloop
4,-10.56,noloop
4,-30.0,noloop
4,-10.49,noloop
4,-10.58,noloop
4,-30.0,noloop
4,-10.56,noloop
4,-27.33,noloop
4,-10.65,noloop
4,-30.0,noloop
4,-10.53,noloop
4,-24.59,noloop
4,-22.815,noloop
4,-20.99,noloop
4,-22.37,noloop
4,-21.94,noloop
4,-21.63,noloop
4,-23.89,noloop
4,-10.345,noloop
4,-32.96,noloop
4,-10.45,noloop
4,-10.37,noloop
4,-10.41,noloop
4,-10.375,noloop
4,-30.0,noloop
4,-24.01,noloop
4,-30.0,noloop
4,-21.035,noloop
4,-22.08,noloop
4,-24.605,noloop
4,-24.55,noloop
4,-42.82,noloop
4,-30.0,noloop
