value,value_log,value_divide_100,value_divide_1000,cdf
15.88,1.2008504980910775,0.1588,0.01588,0.3695652173913043
16.09,1.2065560440990295,0.1609,0.01609,0.3804347826086957
16.67,1.2219355998280053,0.1667,0.01667,0.391304347826087
16.81,1.225567713439471,0.1681,0.01681,0.40217391304347827
17.69,1.2477278329097232,0.1769,0.01769,0.41304347826086957
18.63,1.2702128548962426,0.1863,0.01863,0.42391304347826086
21.45,1.331427296520743,0.2145,0.02145,0.43478260869565216
21.65,1.3354579006893843,0.2165,0.02165,0.44565217391304346
23.08,1.3632358044836939,0.2308,0.02308,0.45652173913043476
23.15,1.3645509953539718,0.2315,0.02315,0.4673913043478261
24.67,1.3921691494897361,0.2467,0.02467,0.4782608695652174
24.7,1.3926969532596658,0.247,0.0247,0.4891304347826087
24.86,1.395501124305626,0.2486,0.02486,0.5
26.21,1.4184670209466004,0.2621,0.02621,0.5108695652173914
29.6,1.4712917110589385,0.296,0.0296,0.5217391304347826
33.43,1.5241363765925686,0.3343,0.03343,0.532608695652174
33.47,1.524655712357777,0.3347,0.03347,0.5434782608695652
34.83,1.5419534744582362,0.3483,0.03483,0.5543478260869565
36.4,1.561101383649056,0.364,0.0364,0.5652173913043478
38.4,1.5843312243675307,0.384,0.0384,0.5760869565217391
39.175,1.5930090051406276,0.39175,0.039175,0.5869565217391305
39.28,1.594171479114912,0.3928,0.03928,0.5978260869565217
41.01,1.6128897692874846,0.4101,0.04101,0.6086956521739131
41.08,1.6136304349252406,0.4108,0.04108,0.6195652173913043
42.03,1.623559390005437,0.4203,0.04203,0.6304347826086957
44.4,1.6473829701146199,0.444,0.0444,0.6413043478260869
44.45,1.6478717653062325,0.4445,0.04445,0.6521739130434783
47.13,1.6732974397596359,0.4713,0.04713,0.6630434782608695
51.52,1.7119758543517558,0.5152,0.05152,0.6739130434782609
55.14,1.741466761769755,0.5514,0.05514,0.6847826086956522
55.47,1.7440581658788354,0.5547,0.05547,0.6956521739130435
56.25,1.7501225267834002,0.5625,0.05625,0.7065217391304348
57.63,1.7606486195813562,0.5763,0.05763,0.717391304347826
63.45,1.8024316264307236,0.6345,0.06345,0.7282608695652174
67.99,1.832445041174111,0.6799,0.06799,0.7391304347826086
71.06,1.8516252031533091,0.7106,0.07106,0.75
74.18,1.8702868289925914,0.7418,0.07418,0.7608695652173914
75.07,1.8754664158663856,0.7507,0.07507,0.7717391304347826
75.62,1.878636673026517,0.7562,0.07562,0.782608695652174
79.63,1.901076715726255,0.7963,0.07963,0.7934782608695652
85.9,1.9339931638312424,0.859,0.0859,0.8043478260869565
100.18,2.0007810273534954,1.0018,0.10018,0.8152173913043478
115.17,2.061339366837067,1.1517,0.11517,0.8260869565217391
118.085,2.0721947339304925,1.18085,0.118085,0.8369565217391305
119.94,2.0789640445017605,1.1994,0.11994,0.8478260869565217
123.33,2.091068731500012,1.2333,0.12333,0.8586956521739131
133.065,2.124063838301461,1.33065,0.133065,0.8695652173913043
157.25,2.1965906541173066,1.5725,0.15725,0.8804347826086957
163.13,2.212533836186607,1.6313,0.16313,0.8913043478260869
189.19,2.276898177205339,1.8919,0.18919,0.9021739130434783
192.03,2.283369081915453,1.9203,0.19203,0.9130434782608695
193.45,2.286568734057264,1.9345,0.19345,0.9239130434782609
197.54,2.295655049432586,1.9754,0.19754,0.9347826086956522
204.54,2.310778251612535,2.0454,0.20454,0.9456521739130435
204.88,2.311499565460373,2.0488,0.20488,0.9565217391304348
232.25,2.3659557226656793,2.3225,0.23225,0.967391304347826
249.84,2.397661971222142,2.4984,0.24984,0.9782608695652174
261.665,2.417745635809889,2.61665,0.261665,0.9891304347826086
299.4,2.4762517960070336,2.994,0.2994,1.0
