grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_25,thput_50,thput_75,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100
-86.9480,40.4530,0.0000,2.0000,40.4670,3.4600,37.0070,38.7370,40.4670,42.1970,43.9270,92.0000,0.0000,92.0000,92.0000,92.0000,92.0000,92.0000,136.0000,9.0000,127.0000,128.8000,131.5000,136.0000,140.5000,143.2000,145.0000
-86.9480,40.4675,0.0000,3.0000,4.4267,1.2064,2.8200,3.7765,4.7330,5.2300,5.7270,46.0000,1.4142,45.0000,45.0000,45.0000,46.5000,48.0000,482.3333,159.5208,345.0000,355.2000,370.5000,396.0000,551.0000,644.0000,706.0000
-86.9475,40.4515,0.0000,2.0000,28.2140,4.4220,23.7920,26.0030,28.2140,30.4250,32.6360,92.0000,0.0000,92.0000,92.0000,92.0000,92.0000,92.0000,219.5000,23.5000,196.0000,200.7000,207.7500,219.5000,231.2500,238.3000,243.0000
-86.9475,40.4520,0.0000,3.0000,8.6750,2.8088,4.8170,7.3010,9.7850,10.6040,11.4230,78.0000,17.7200,53.0000,71.0000,89.0000,90.5000,92.0000,209.9000,102.7078,68.7000,105.1600,159.8500,251.0000,280.5000,298.2000,310.0000
-86.9475,40.4675,0.0000,32.0000,4.1046,2.2768,0.9370,3.0402,3.4182,4.2485,10.2120,48.8750,14.2692,3.0000,45.0000,50.0000,50.0000,86.0000,588.7594,219.4892,50.3000,212.6000,473.5000,684.5000,758.7500,767.0000,792.0000
-86.9470,40.4410,0.0000,1.0000,57.9940,0.0000,57.9940,57.9940,57.9940,57.9940,57.9940,84.0000,0.0000,84.0000,84.0000,84.0000,84.0000,84.0000,117.0000,0.0000,117.0000,117.0000,117.0000,117.0000,117.0000,117.0000,117.0000
-86.9470,40.4415,0.0000,2.0000,52.7500,2.2640,50.4860,51.6180,52.7500,53.8820,55.0140,84.0000,0.0000,84.0000,84.0000,84.0000,84.0000,84.0000,133.5000,6.5000,127.0000,128.3000,130.2500,133.5000,136.7500,138.7000,140.0000
-86.9470,40.4420,0.0000,3.0000,36.8273,25.6134,0.6880,26.7280,52.7680,54.8970,57.0260,55.0000,36.8511,3.0000,40.5000,78.0000,81.0000,84.0000,110.2333,22.6186,91.1000,92.4000,94.3500,97.6000,119.8000,133.1200,142.0000
-86.9470,40.4430,0.0000,3.0000,46.7833,4.3488,43.2750,43.7190,44.1630,48.5375,52.9120,81.0000,2.4495,78.0000,79.5000,81.0000,82.5000,84.0000,141.0000,28.2961,101.0000,112.8000,130.5000,160.0000,161.0000,161.6000,162.0000
-86.9470,40.4435,0.0000,1.0000,33.3950,0.0000,33.3950,33.3950,33.3950,33.3950,33.3950,84.0000,0.0000,84.0000,84.0000,84.0000,84.0000,84.0000,159.0000,0.0000,159.0000,159.0000,159.0000,159.0000,159.0000,159.0000,159.0000
-86.9470,40.4445,0.0000,2.0000,6.4510,3.3510,3.1000,4.7755,6.4510,8.1265,9.8020,47.5000,2.5000,45.0000,46.2500,47.5000,48.7500,50.0000,541.0000,42.0000,499.0000,507.4000,520.0000,541.0000,562.0000,574.6000,583.0000
-86.9470,40.4455,0.0000,11.0000,25.7511,7.0533,13.8670,21.3795,26.0411,30.4379,37.0260,82.9091,1.7814,80.0000,82.0000,84.0000,84.0000,84.0000,175.9091,41.7905,108.0000,139.0000,142.0000,172.0000,198.0000,242.0000,246.0000
-86.9470,40.4460,0.0000,4.0000,24.8024,2.3616,22.6590,23.4436,23.8776,25.2364,28.7954,75.5000,13.0480,53.0000,74.0000,82.5000,84.0000,84.0000,195.2500,34.0909,161.0000,162.2000,164.0000,188.5000,219.7500,233.7000,243.0000
-86.9470,40.4465,0.0000,4.0000,17.4909,4.0642,11.7420,15.9255,17.4949,19.0603,23.2320,80.2500,6.4952,69.0000,80.2500,84.0000,84.0000,84.0000,246.2500,77.3866,163.0000,180.7000,207.2500,224.5000,263.5000,329.2000,373.0000
-86.9470,40.4470,0.0000,3.0000,7.0437,2.0582,4.1420,6.2185,8.2950,8.4945,8.6940,48.6667,35.6495,3.0000,28.0000,53.0000,71.5000,90.0000,295.2333,187.3253,55.7000,107.9600,186.3500,317.0000,415.0000,473.8000,513.0000
-86.9470,40.4475,0.0000,2.0000,11.3345,2.6135,8.7210,10.0278,11.3345,12.6412,13.9480,71.5000,18.5000,53.0000,62.2500,71.5000,80.7500,90.0000,293.5000,27.5000,266.0000,271.5000,279.7500,293.5000,307.2500,315.5000,321.0000
-86.9470,40.4480,0.0000,2.0000,13.3195,0.3745,12.9450,13.1323,13.3195,13.5068,13.6940,53.0000,0.0000,53.0000,53.0000,53.0000,53.0000,53.0000,395.0000,100.0000,295.0000,315.0000,345.0000,395.0000,445.0000,475.0000,495.0000
