grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
-86.9165,40.465,0,68,1200,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,3,0.0032502708559046588,704,3,0.004261363636363636,0.34800000000000003,0.09554056729996947,0.266,0.272,0.281,0.296,0.389,0.4448,0.482,12.644666666666666,5.225409478904235,6.459,7.6144,9.3475,12.236,15.7375,17.8384,19.239,
-86.9165,40.465,0,453,1200,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,38,0.041170097508125676,704,32,0.045454545454545456,0.37841468253968247,0.21489323939097604,0.064,0.1274,0.2272857142857143,0.3355,0.4775,0.6219,0.9428571428571428,15.443211805555556,8.967450948103318,0.3657142857142857,6.3574,11.471035714285714,13.866499999999998,18.099607142857142,28.89280000000001,42.64228571428572,
-86.9165,40.465,0,453,1200,452,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,38,0.041170097508125676,704,31,0.04403409090909091,0.26448387096774195,0.09869495817659113,0.053,0.14,0.23035714285714287,0.268,0.302,0.355,0.548,11.207239631336407,3.786859281918131,1.048,4.956,9.807500000000001,12.108,13.913499999999999,15.059,16.450285714285712,
-86.9165,40.465,0,453,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,923,152,0.1646803900325027,704,133,0.18892045454545456,0.20722162549230216,0.09223709640899815,0.056,0.12068571428571429,0.142,0.192,0.241,0.3127428571428571,0.6346666666666666,8.722011934598399,2.868350072949417,1.943,5.3212,6.704,8.445,10.299,12.629399999999999,16.485333333333333,
-86.9165,40.465,0,453,1200,210,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,1,0.0010834236186348862,704,1,0.0014204545454545455,0.178,0.0,0.178,0.178,0.178,0.178,0.178,0.178,0.178,5.703,0.0,5.703,5.703,5.703,5.703,5.703,5.703,5.703,
-86.9165,40.465,0,68,1200,314,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,8,0.00866738894907909,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,68,1200,743,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,7,0.007583965330444204,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,453,66736,743,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,1,0.0010834236186348862,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,453,1200,743,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,37,0.04008667388949079,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,453,1200,None,None,339,1001,None,None,None,None,None,None,None,None,None,None,LTE,923,24,0.02600216684723727,704,22,0.03125,0.2615995670995671,0.12357378386948882,0.1405714285714286,0.1551,0.2034642857142857,0.224,0.297,0.3615000000000001,0.7022222222222222,11.060795093795093,2.7079154257171636,7.022857142857143,7.9190000000000005,9.33375,11.012,12.45275,14.46404285714286,17.996,
